ID,Jméno místa,E-mail,Webová stránka / profil,Lokalita - kraj,Lokalita do 90 minut,Kapacita text,Kapacita max (číslo),Architektonický typ,Ubytování,Ubytování normalizace,Služby místa,Catering a pití,Catering normalizace,Večerní party,Party normalizace,Přidané hodnoty,Pronájem,Průměrná cena svatby,Další poznámka,Zdroj dohledání webu
131,Tvrz KRASSA,anna.loffler@krassa.cz,https://krassa.cz,Liberecký,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellness, rybník, Den snoubenců zdarma pro snoubence","do 100.000,-","do 500.000,-",,https://krassa.cz
132,hotel Skalní mlýn,smk@smk.cz,https://smk.cz,Jihomoravský,od Brna,do 80,80,Hotelový styl,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Dle domluvy,ověřit detail,,Dle domluvy,"do 100.000,-",,https://smk.cz
133,Stodola pod lesem,michaela.ulreichova@gmail.com,https://www.stodolapodlesem.cz/,Jihomoravský,30 min od Brna,do 100,100,"Mlýn, stodola, statek",Ano - v okolí do 10 minut,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,,"do 50.000,-","do 300.000,-",,https://www.stodolapodlesem.cz/
134,Mlýn vodníka Slámy,marie@uslamy.cz,https://uslamy.cz,Moravskoslezský,Je nám to jedno,do 150,150,"spojení přírody, zajímavého místa a hotelového komfortu",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"27 ha přírody - louky, rybník, splav - svatební focení v areálu. Psi povolení. Venkovní posezení. Koňské stáje. Gril. Parkoviště. Dobíjecí stanice pro elektroauta","do 50.000,-","do 300.000,-",,https://uslamy.cz
135,Smrčiny,info@smrciny.com,https://smrciny.com,Vysočina,"jsme do 90min od Prahy, Brna a Českých Budějovic",do 80,80,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Sauna, velký koupací biotop, pejsky s sebou můžou bez problému, není žádný limit pro parkování, základní zázemí pro catering, nádherná zahrada (není třeba mít další dekorace), krásná moderní stodola (opět minimální potřeba dekorací).","týdenní svatby a svatby v dubnu, květnu a říjnu pod 200.000Kč, víkend v hlavní sezóně nad 200.000Kč. Žádné další příplatky vůbec za nic","do 500.000,-","Nemáme vůbec žádné skryté poplatky, cena pronájmu je finální, žádné překvapení za nic nejsou",https://smrciny.com
136,Hrad Kunzov,svatby@kunzov.cz,https://kunzov.cz,Olomoucký,"Olomouc, Ostrava, Brno",do 150,150,Hrad,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Snoubenci mají možnost mít vlastní catering, pití jde vždy od nás",ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Vnitřní wellness, venkovní bazén v zahradě přímo u svatebního stanu, po celou dobu plánování svatby je naše svatební koordinátorka, která vám bude po boku od prvního nápadu až po poslední tanec.","do 100.000,-","do 200.000,-",,https://kunzov.cz
137,Penzion Nad Oborou,info@pno.cz,https://pno.cz,Královohradecký,přímo v Hradci Králové,do 80,80,Penzion - rekonstrukce statku,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"k dispozici tenisový kurt, možnost mít psa, po domluvě možnost využít prostory na zahradě i mimo pergolu","Cena 29.000 za pronájem prostor + 2 pokoje, další ubytování dle zájmu a ceníku","záleží na počtu hostů a výběru z cateringu, takhle to opravdu nejde říct.",,https://pno.cz
138,usedlost Na Stovce,info@nastovce.cz,https://nastovce.cz,Jihomoravský,od Brna,do 100,100,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,,"do 150.000,-","do 300.000,-",www.nastovce.cz,https://nastovce.cz
139,Villa Rosenaw,manager@villarosenaw.cz,https://villarosenaw.cz,Zlínský,Je nám to jedno,do 100,100,Zámek,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Privátní sauna, dog friendly","do 150.000,-","do 200.000,-",,https://villarosenaw.cz
140,Statek Dolní OIdřiš,oldriska.sro@gmail.com,https://www.statekdolnioldris.cz/svatby-na-statku/,Liberecký,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"přilehlá zahrada, rybníček s ostrovem uprostřed, pes povolen pro nejbližší rodinu, slavobrány, vybavení baru, kuchyně a stolování. Koně - možnost focení, krávy, husy.Hovězí maso v bio kvalitě možnost objednání. Konec světa bez signálu.","do 100.000,-",když je využito ubytování celý víkend je cena komplet do 120.000 Kč,"Jsme statek na konci světa. Součástí je farma, která se zabývá chovem skotu a koní. Jsme rádi, že se k nám novomanželé rádi vracejí.",https://www.statekdolnioldris.cz/svatby-na-statku/
141,Hotel & garden U Holubů,barnet@uholubu.com,https://uholubu.com,Moravskoslezský,od Olomouce,do 100,100,boutique hotel uprostřed beskydských hor,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,přírodní a koupací jezírka,"nemáme pronájem máme svatební balíček, které má spoustu služeb",v závislosti na počtu osob,,https://uholubu.com
142,Wellness hotel pivovar Monopol,restaurace@pivovarmonopol.cz,https://pivovarmonopol.cz,Ústecký,od Prahy,do 60,60,Hotelový styl,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellness, možnost mít psa, vlastní minipivovar, prezidentské apartmá","do 50.000,-","do 200.000,-",,https://pivovarmonopol.cz
143,Penzion Mítkov,Lustyková,https://www.penzionmitkov.cz/,Pardubický,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Okolí příroda, řeka, psi je možné mít s sebou, vlastní bar, vlastní catering-vše dle domluvy dle Vašich představ.","115 000 Kč 3 dny (pá-so-ne), 95 000 Kč 3dny (út-st-čt)","Různé, dle požadavků klientů.","Původní mlýn uzavřený dvůr, kámen, dřevo, v okolí příroda- žádné další domy v blízkosti 2km. Ihned u cyklostezky a železniční trati.",https://www.penzionmitkov.cz/
144,Zámek Jemniště,zamek@jemniste.cz,https://jemniste.cz,Středočeský,od Prahy,do 100,100,Zámek,Ano - v okolí do 10 minut,"ano, přímo v místě","Pouze obřad, svatební oběd, případně před/po obřadu welcome - drink, malé pohoštění",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Bohužel není možné na zámku Jemniště pořádat večerní party.,ověřit detail,"Snoubenci, případně rodiče nevěsty a ženicha, se u nás mohou ubytovat ve třech dvoulůžkových zámeckých apartmánech.

Na zámku Jemniště je k dispozici privátní zámecké SPA pro dvě osoby.

Obřad lze uspořádat ve slavnostní zámecké kapli přímo v areálu zámku nebo v rozáriu (růžové zahradě). V případě nepříznivého počasí se obřad automaticky přesouvá do kaple.

Nabízíme také možnost, aby se nevěsta s ženichem za poplatek fotografovali v zámeckých interiérech.

Součástí areálu je také rozlehlý 13hektarový park se třemi rybníky a malým zvěřincem, kde lze vidět například klokany, alpaky, nosály, nandu nebo emu.","do 50.000,-","do 100.000,-","Na zámku Jemniště je možné pořádat pouze svatební obřady. Slavnostní zámecká kaple má kapacitu přibližně 100 hostů, zatímco rozárium (růžová zahrada) nabízí prakticky neomezenou kapacitu.

Součástí nabídky jsou také svatební obědy v zámecké restauraci s maximální kapacitou cca 80 osob. Před nebo po obřadu je možné uspořádat cocktail v průjezdu zámku, který může zahrnovat alkoholické i nealkoholické nápoje a drobné finger food občerstvení.

V zámeckém areálu se nacházejí tři menší domečky – apartmány, zařízené historickým nábytkem, jejichž dominantou je plně funkční krb v obývacím pokoji.

V ceně obřadu jsou zahrnuty služby svatební koordinátorky, potřebný mobiliář (např. židle či stůl pro obřad) a hudební doprovod (standardně varhany nebo harfa).",https://jemniste.cz
145,Statek Vletice,statekvletice@gmail.com,https://statekvletice.cz/,Středočeský,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"bazen, wellness","do 150.000,-","do 300.000,-",,https://statekvletice.cz/
146,Hotel Cvilín ****,akce@cvilin.cz,https://cvilin.cz,Moravskoslezský,Je nám to jedno,do 150,150,Hotelový styl,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Dle domluvy,ověřit detail,"wellness, možnost mít zvíře","do 50.000,-","do 300.000,-",,https://cvilin.cz
147,Zámek Křinec,Info@zamekkrinec.cz,https://zamekkrinec.cz,Středočeský,od Prahy,do 100,100,Zámek,Ano - do 10 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Možnost mít psa,"do 70.000,-","do 300.000,-",,https://zamekkrinec.cz
148,Kraselovský Dvůr,penzion@kraselovskydvur.cz,https://kraselovskydvur.cz,Jihočeský,"od ČB, Prahy i Plzně",do 80,80,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"rybníček, focení s koňmi","podle termínu, o prázdninách 75.000,-Kč, mimo prázdniny 64.000,-Kč, mimo víkendy a sezonu nebo na jeden den pak individuálně méně",je nám to jedno,"Uzavřený objekt s parkovištěm a zahradou, v rámci pronájmu je možné si věci přivézt už ve čtvrtek, v neděli pozdní check-out, doporučíme dodavatele z okolí - konečný výběr je jen a jen na snoubencích",https://kraselovskydvur.cz
149,Penzion Pastouška,info@penzion-pastouska.cz,https://penzion-pastouska.cz,Jihomoravský,od Brna,do 40,40,venkovský penzion se oddávacím místem u rybníka,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Lze uspořádat venkovní párty u rybníčka, kapacita až 60 osob","do 70.000,-","do 200.000,-","Připravujeme celou svatbu od A do Zet - květinová výzdoba, catering, bar, design, ostatní služby rádi doporučíme (DJ, sweet bar, květiny do ruky, fotograf, video, ...)",https://penzion-pastouska.cz
150,Areál Albertovec,sara.martynkova@hajekas.cz,https://hajekas.cz,Moravskoslezský,od Ostravy,do 80,80,Zajímavé místo / unikát,Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Nabízíme vám exkluzivní prostředí bývalé remontní stáje s atmosférou zámeckého sálu, které pojme až 70 hostů. Pro intimnější setkání je k dispozici naše vinárna s kapacitou 16 osob, zatímco venkovní terasa, s výhledem na malebnou přírodu, pojme 55 lidí. Obřad se koná před našim rybníkem na velké travnaté ploše se svatební bránou ve tvaru podkovy. máme také vyžití pro děti - dětské hřiště, trampolínu. 
Co je velmi důležité, celý areál má daná svatbu pouze pro sebe, nikdo cizí se jim tam nemůže pohybovat.","do 50.000,-","do 100.000,-","nejsme pouze svatební místo,a le také místo pro oslavy, či firemní večírky:)",https://hajekas.cz
151,Svatba pod Ořechem,manager@penzionadamcik.cz,https://penzionadamcik.cz,Zlínský,od Brna,do 80,80,Zajímavé místo / unikát,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Klimatizované prostory i ubytování, pejsek možný, relaxační zahrada pro svatební obřad i chill out koutky, zastřešená terasa, mnohaleté zkušenosti v oboru - hladký průběh dne, dovážíme kvalitní prosecca přímo od vinaře z Itálie. Dostupné ceny celé svatby. Svatba za každého počasí.","do 50.000,-","do 200.000,-",,https://penzionadamcik.cz
152,VICTORIA GARDEN,info@victoriagarden.cz,https://victoriagarden.cz,Středočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě",Pouze obřad,Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"mám koupací jezírko a zahradu, finskou saunu, novomanželské apartmá, možnost psa","do 100.000,-","do 100.000,-",ve všední dny po - čt nabízíme nižší cenu 45.000 Kč,https://victoriagarden.cz
153,U nás ve mlýně,info@detailinterier.cz,https://detailinterier.cz,Středočeský,Je nám to jedno,do 60,60,"Mlýn, stodola, statek",Ano - do 10 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,,"do 100.000,-","do 200.000,-",,https://detailinterier.cz
154,Restaurace Salabka,event@salabka.cz,https://salabka.cz,Praha,,nad 150,150,Zajímavé místo / unikát,Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,V restauraci je možné mít dětský koutek i pejsky. Máme krásnou terasu před velkou vinicí.,Požadovaná min. konzumace dle zvoleného prostoru. Pronájem se nehradí.,záleží na velikosti svatby. Máme komorní do 20 osob i velké do 200 osob.,"Máme vlastní vinici, vinařství, provádíme degustace našich vín a pálenek.",https://salabka.cz
155,Stodola Plástovice,info@stodolaplastovice.cz,https://stodolaplastovice.cz,Jihočeský,od Českých Budějovic,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mohou mít vlastní pití bez příplatku. Možnost vlastního cateringu po domluvě.,ověřit detail,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness v koupacím sudu
Glampingový stan (jako relax koutek, či pro romantickou noc pod hvězdami)
Zázemí pro děti - trampolína, domeček, pískoviště a klouzačka
Bílé pódium na obřad
Popisky a drobné dekorace
Zapůjčení inventáře pro svatební obřad (židle, stolek, slavobrána)
Možnost pronájmu designové maringotky (na spaní či focení)","do 150.000,-","do 200.000,-",,https://stodolaplastovice.cz
156,Resort Svět,svatby@resortsvet.cz,https://resortsvet.cz,Středočeský,od Prahy,do 150,150,Zajímavé místo / unikát,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Dog friendly, rybníky, wellness, dětské hřiště, možnost procházky","do 50.000,-","do 200.000,-","Každou svatbu připravujeme zcela na míru požadavkům snoubenců, spolupracujeme s ověřenými dodavateli, máme přes 20 let zkušeností",https://resortsvet.cz
157,Resort Green Valley,kuklik@green-valley.cz,https://green-valley.cz,Středočeský,"Od Prahy, Brna, Hradce Králové, Českých Budějovic",do 150,150,"Mlýn, stodola, statek",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"wellness, svatba u vody a lesa",Dle domluvy,3000 CZK / osoba,,https://green-valley.cz
158,Ranch Tyra,ranchtyra@gmail.com,https://ranchtyra.cz/,Moravskoslezský,od Ostravy,do 60,60,"Mlýn, stodola, statek",Nemáme,Nemáme,"Poskytujeme možnost mít u nás obřad, hostinu i párty ... ubytování si hosté musí zařídit v okolí sami.",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,Party max do 22.00,ověřit detail,"Nádherný výhled do hor, obrovský sad, v obklopení přírody, na úpatí hory Javorový","nad 200.000,-",je nám to jedno,"Pronajímáme pouze stodolu se základním vybavením a venkovní prostory k tomu. Fungujeme na bázi toho, že si svatbu můžete udělat čistě podle sebe. :)",https://ranchtyra.cz/
159,Ermi hotel***,info@ermihotel.cz,https://ermihotel.cz,Středočeský,od Prahy,do 100,100,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Romantický hotel z 30. let v srdci CHKO Brdy s výhledem na Plešivec. Svatební noc pro novomanžele zdarma. Nabízíme unikátní obřad v lese pár kroků od hotelu nebo přímo v hotelové zahradě s výhledem na Brdy, kompletní svatbu na klíč bez starostí, ubytování hostů na místě a naprosté soukromí v přírodě. Samozřejmostí je individuální přístup a možnost mít s sebou psa.","do 50.000,-","do 200.000,-","U nás nejde jen o svatební den, ale o atmosféru, klid a propojení s přírodou, na které budou novomanželé i jejich hosté dlouho vzpomínat.",https://ermihotel.cz
160,"U CERHŮ, Kněžmost v Českém ráji",jiri_barton@centrum.cz,https://www.ucerhu.cz/,Středočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Pes možný, svatba v kostele církevní i necírkevni, kostel 150 m od areálu, 50+parkovacích míst do 100 m od areálu","do 70.000,-","do 100.000,-","Více než 20 letá tradice v pořádání svateb, exkluzivní místa pro photoshooting v Českém ráji do 15 min jízdy",https://www.ucerhu.cz/
161,Veselkovna,veselka@veselkomat.cz,https://veselkomat.cz,Olomoucký,od Olomouce,do 100,100,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Naše místo je do nejmenšího detailu dolazené a je tu nádherná zahrada,"do 100.000,-","do 100.000,-",,https://veselkomat.cz
162,Jítravský Dvorec,reditel@jitrava.cz,https://jitrava.cz,Liberecký,od Prahy,do 150,150,Jsme kombinaci krásného místa v přírodě s hotelovými službami.,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"wellness, zábava a sportovní vyžití, projížďka kočárem s koňmi, psy, ovečky, kozy, kravičky, dětská hřiště, velká nabídka služeb","do 50.000,-","do 200.000,-","Vítejte na místě, kde zapomenete na starosti všedního dne a vychutnejte si plnými doušky všechno, co Jítravský Dvorec nabízí. Přivítá Vás krásná příroda Lužických hor, skvělé jídlo připravované z kvalitního masa z našich vlastních chovů, útulné a komfortní ubytování, wellness, konferenční prostory i jezdecký areál. 
Jítravský Dvorec se přizpůsobí Vašim potřebám. Ubytovat se můžete ve stylovém Apartmán-Hotelu, Penzionu, Hotelu U Pekaře nebo v Apartmánech nad stájemi. 
O gurmánský zážitek se postará Restaurace, ve které ochutnáte pokrmy české kuchyně v moderním pojetí. Těšit se můžete na jídla z našeho hovězího a jehněčího bio chovu, zvěřiny z okolních lesů a na čerstvé pečivo z Jítravské pekárny. K jídlu si zde můžete vybrat vína z různých koutů světa. V Pivnici můžete ochutnat pokrmy české kuchyně v kombinaci s pivem od lokálních pivovarů.
Pro aktivní hosty je možné zapůjčení kol nebo map běžeckých i turistických tras. Využít můžete tenisové kurty, lukostřelbu a pro ty nejmenší návštěvníky je v areálu několik dětských hřišť. V zimním období naleznete v okolí několik sjezdovek nebo tratí pro běžky. Milovníkům koní nabízíme předem domluvenou prohlídku stájí, pro děti výcvik na koni nebo romantickou jízdu kočárem pro dospělé s piknikem v přírodě. Pro ty, kteří si chtějí jenom odpočinout máme v nabídce wellness, masáže, kosmetiku či relax v naší zahradě. V zimním období můžete čerpat energii ve Skandinávské kádi.
Jezdecký areál umožňuje provozování různých sportovních disciplín s koňmi. Je to především parkur, drezura a vozatajství na luxusních jezdeckých plochách. Také jsme v Jítravě založili před několika lety největší chov čisté španělské rasy - Pura Raza Espaňola. 
Ideálním místem pro konání firemních, společenských, kulturních a vzdělávacích akcí je naše konferenční místnost s kapacitou až 140 osob, případně zde máme i několik menších salónků. Vše zařídíme dle Vašich představ a to i včetně volnočasových aktivit.
Pokud hledáte místo pro Vaši svatbu, tak jste ho právě našli. Tento velký den bude přesně takový, jak jste si ho vysnili a nikdy na něj nezapomenete. 
Budeme rádi, pokud se přesvědčíte sami … Těšíme se na Vás.",https://jitrava.cz
163,Château Josefův Důl,istokova@nomce.cz,https://nomce.cz,Liberecký,Je nám to jedno,do 40,40,Lovecký zámeček,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,Party max do 22.00,ověřit detail,"vířivka, pejsci jsou vítání, Louka, terasa s grilem, fotogenický interiér, maximální soukromí - celý objekt i s pozemkem máte pro sebe","do 70.000,-","do 100.000,-",,https://nomce.cz
164,"Klokočkův mlýn, Načeradec",Vandados@seznam.cz,https://www.klokockuvmlyn.cz/,Středočeský,od Prahy,do 80,80,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellnes, finská sauna, 6 ha zahrady aj.","do 70.000,-","do 300.000,-","Přátelské prostředí, domácí atmosfera",https://www.klokockuvmlyn.cz/
165,Dvůr Pecínov,svatbapecinov@gmail.com,https://pecinov.com/svatby/,Středočeský,od Českých Budějovic,nad 150,150,"Mlýn, stodola, statek",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"wellness, pet friendly, masáže, lokální suroviny, koordinace","do 100.000,-","do 500.000,-",,https://pecinov.com/svatby/
166,Ve Dvoře,kristyna.penkavova99@seznam.cz,https://www.vedvore.eu/,Ústecký,od Prahy,do 100,100,Společenský sál,Ano - v okolí do 10 minut,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Možnost mít psa, focení u dřevěné rozhledny, u kašny na návsi nebo mezi poli","do 50.000,-","do 100.000,-",,https://www.vedvore.eu/
167,Průhonický park a zámek,zamek@ibot.cas.cz,https://ibot.cas.cz,Středočeský,od Prahy,do 100,100,Zámek,Ano - v okolí do 10 minut,"ano, přímo v místě",Pouze obřad,Dle domluvy,dle domluvy,Dle domluvy,ověřit detail,Památka zapsaná na seznamu UNESCO; dog-friendly; výzdoba v ceně; pouštění hudby k obřadu.,"do 50.000,-","do 100.000,-",V ceně obřadu jsou základní služby koordinátora a focení v parku v den svatby,https://ibot.cas.cz
168,Prague Louka,manazer@praguelouka.com,https://praguelouka.com,Praha,,nad 150,150,stodola,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"možnost domácích mazlíčků, využití dětských atrakcí, sportovní vyžití, biotop","do 70.000,-",dle rozsahu služeb,,https://praguelouka.com
169,Černá ovce - svatební stodola,stodola@cernaovce.cz,https://cernaovce.cz,Plzeňský,Plzeň,do 100,100,"Mlýn, stodola, statek",Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,Dle domluvy,ověřit detail,"Možnost stanování, dětské hřiště, farma - vstup ke zvířatům, možnost mít psa, ohniště","do 100.000,-",je nám to jedno,"Jsme 15 min. od centra Plzně, ale zároveň v přírodě.",https://cernaovce.cz
171,Svatba Na Kopci,info@svatbanakopci.cz,https://svatbanakopci.cz,Jihočeský,Je nám to jedno,do 150,150,"Příroda (louka, les, u vody)",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"možnost zvířecích mazlíčků, zajímavá místa pro focení (rybníky...)","do 150.000,-",záleží na požadavcích snoubenců,"Možnost výběru - svatební oslava uvnitř nebo venku, kompletní vybavení k dispozici snoubencům, prostorný bar s výčepem",https://svatbanakopci.cz
